fNIRS,,,,,,TCD,,,,,,,,,fNIRS,,,,,,,,,,,,,,,,,TCD,,,,,,,,,,,,,
SUBJ001,,SessionDate:,2/16/2018,,,,SessionDate:,7/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SUBJ001,SUBJ002,SUBJ003,SUBJ004,SUBJ005,SUBJ006,SUBJ007,SUBJ008,SUBJ009,SUBJ010,SUBJ011,SUBJ012,SUBJ013,SUBJ014,,,,SUBJ001,SUBJ002,SUBJ003,SUBJ004,SUBJ005,SUBJ006,SUBJ007,SUBJ008,SUBJ009,SUBJ010,SUBJ011,SUBJ012,SUBJ013,SUBJ014
,W,1- back,W,2- back,,,W,1- back,W,2- back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT,337.7333333,455.4666667,399.6,895.9,,RT,354.4666667,380.9333333,379.4,529.1428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBJ004,,SessionDate:,9/27/2018,,,,SessionDate:,9/27/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IC - NR,IC- FA,C - NR,C- Hit,,,IC - NR,IC- FA,C - NR,C- Hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,0,45,15,,W,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1- back,0,0,45,15,,1- back,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,0,45,15,,W,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2- back,0,0,45,15,,2- back,0,1,44,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W,1- back,W,2- back,,,W,1- back,W,2- back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT,365.7333333,531,331.5333333,463.6666667,,RT,345.2666667,403.8666667,349.5333333,628.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBJ005,,SessionDate:,5/3/2018,,,,SessionDate:,9/13/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IC - NR,IC- FA,C - NR,C- Hit,,,IC - NR,IC- FA,C - NR,C- Hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,1,44,15,,W,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1- back,0,0,45,15,,1- back,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,0,45,15,,W,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2- back,3,1,44,12,,2- back,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W,1- back,W,2- back,,,W,1- back,W,2- back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT,421.3125,720.7333333,499.2,663.3846154,,RT,480.0666667,708.0666667,562.8,809.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBJ006,,SessionDate:,4/11/2018,,,,SessionDate:,9/17/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IC - NR,IC- FA,C - NR,C- Hit,,,IC - NR,IC- FA,C - NR,C- Hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,0,45,15,,W,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1- back,0,0,45,15,,1- back,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,0,45,15,,W,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2- back,4,2,43,11,,2- back,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W,1- back,W,2- back,,,W,1- back,W,2- back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT,393.4,497.4666667,432.3333333,583.3846154,,RT,373,403,392.8,474.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBJ007,,SessionDate:,4/18/2018,,,,SessionDate:,10/31/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IC - NR,IC- FA,C - NR,C- Hit,,,IC - NR,IC- FA,C - NR,C- Hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,0,45,15,,W,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1- back,0,0,45,15,,1- back,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,0,45,15,,W,0,1,44,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2- back,0,0,45,15,,2- back,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W,1- back,W,2- back,,,W,1- back,W,2- back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT,468.7333333,591.4666667,443.6,643.0666667,,RT,532.2,657.1333333,536.5,774.0666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBJ008,,SessionDate:,5/22/2018,,,,SessionDate:,1/17/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IC - NR,IC- FA,C - NR,C- Hit,,,IC - NR,IC- FA,C - NR,C- Hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,0,45,15,,W,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1- back,0,2,43,15,,1- back,0,2,43,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,0,45,15,,W,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2- back,4,0,45,11,,2- back,1,3,42,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W,1- back,W,2- back,,,W,1- back,W,2- back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT,493.7333333,498.1176471,509.6,559.6363636,,RT,418.2857143,639.6,549.2857143,654.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBJ009,,SessionDate:,6/29/2018,,,,SessionDate:,10/16/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IC - NR,IC- FA,C - NR,C- Hit,,,IC - NR,IC- FA,C - NR,C- Hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,0,45,15,,W,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1- back,0,0,45,15,,1- back,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,0,45,15,,W,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2- back,1,0,45,14,,2- back,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W,1- back,W,2- back,,,W,1- back,W,2- back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT,397.8666667,510.4,430.0666667,432.6428571,,RT,403.6,403.4666667,428.5333333,473.8666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBJ010,,SessionDate:,8/8/2018,,,,SessionDate:,1/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IC - NR,IC- FA,C - NR,C- Hit,,,IC - NR,IC- FA,C - NR,C- Hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,0,45,15,,W,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1- back,0,0,45,15,,1- back,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,1,1,44,14,,W,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2- back,0,0,45,15,,2- back,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W,1- back,W,2- back,,,W,1- back,W,2- back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT,448.6666667,630.6,464.8666667,770.2,,RT,347,448.4,370.6666667,575.5333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBJ011,,SessionDate:,10/16/2018,,,,SessionDate:,12/13/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IC - NR,IC- FA,C - NR,C- Hit,,,IC - NR,IC- FA,C - NR,C- Hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,0,45,15,,W,0,1,44,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1- back,0,0,45,15,,1- back,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,0,45,15,,W,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2- back,1,1,44,14,,2- back,1,0,45,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W,1- back,W,2- back,,,W,1- back,W,2- back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT,419.3333333,551.4,487.9333333,836.8666667,,RT,549.6875,700,541.1333333,951.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBJ012,,SessionDate:,11/1/2018,,,,SessionDate:,11/2/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IC - NR,IC- FA,C - NR,C- Hit,,,IC - NR,IC- FA,C - NR,C- Hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,1,44,15,,W,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1- back,0,0,45,15,,1- back,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,0,45,15,,W,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2- back,1,0,45,14,,2- back,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W,1- back,W,2- back,,,W,1- back,W,2- back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT,473.375,570.3333333,483,607.8571429,,RT,428.1333333,589.8666667,518.3333333,614.0666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBJ013,,SessionDate:,6/19/2019,,,,SessionDate:,5/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IC - NR,IC- FA,C - NR,C- Hit,,,IC - NR,IC- FA,C - NR,C- Hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,0,45,15,,W,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1- back,0,1,44,15,,1- back,0,1,44,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,0,45,15,,W,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2- back,0,0,45,15,,2- back,0,1,44,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W,1- back,W,2- back,,,W,1- back,W,2- back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT,280.2666667,298.875,369.5714286,432.0666667,,RT,337.8,453.8125,330.4,586.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBJ014,,SessionDate:,7/2/2019,,,,SessionDate:,5/23/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IC - NR,IC- FA,C - NR,C- Hit,,,IC - NR,IC- FA,C - NR,C- Hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,0,45,15,,W,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1- back,0,0,45,15,,1- back,0,0,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,0,0,45,15,,W,0,1,44,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2- back,0,0,45,15,,2- back,0,1,44,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W,1- back,W,2- back,,,W,1- back,W,2- back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT,307,331.4285714,369.9166667,522.25,,RT,419.3333333,452.6,421.5625,589.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
