Sample Rate: 400,,,,,,
Relative Time,Date,Time Stamp UTC,Left MCA,Right MCA,Event Marker Comments,Chn 1 Events
0,9/14/2018,2:11:35 PM,0.284729004,0.387268066,,
0.01,9/14/2018,2:11:35 PM,0.281982422,0.387573242,,
0.02,9/14/2018,2:11:35 PM,0.274963379,0.388183594,,
0.03,9/14/2018,2:11:35 PM,0.267944336,0.388183594,,
0.04,9/14/2018,2:11:35 PM,0.268249512,0.387878418,,
0.05,9/14/2018,2:11:35 PM,0.276794434,0.387878418,,
0.06,9/14/2018,2:11:35 PM,0.288391113,0.387878418,,
0.07,9/14/2018,2:11:35 PM,0.294494629,0.388183594,,
0.08,9/14/2018,2:11:35 PM,0.289306641,0.388183594,,
0.09,9/14/2018,2:11:35 PM,0.269470215,0.38848877,,
0.1,9/14/2018,2:11:35 PM,0.240783691,0.38848877,,
0.11,9/14/2018,2:11:35 PM,0.210266113,0.388183594,,
0.12,9/14/2018,2:11:35 PM,0.181884766,0.386352539,,
0.13,9/14/2018,2:11:35 PM,0.157775879,0.380859375,,
0.14,9/14/2018,2:11:35 PM,0.143127441,0.371398926,,
0.15,9/14/2018,2:11:35 PM,0.145568848,0.362243652,,
0.16,9/14/2018,2:11:35 PM,0.166625977,0.357055664,,
0.17,9/14/2018,2:11:35 PM,0.196533203,0.355224609,,
0.18,9/14/2018,2:11:35 PM,0.220947266,0.355224609,,
0.19,9/14/2018,2:11:35 PM,0.233764648,0.355529785,,
0.2,9/14/2018,2:11:35 PM,0.238037109,0.354309082,,
0.21,9/14/2018,2:11:35 PM,0.238647461,0.350036621,,
0.22,9/14/2018,2:11:35 PM,0.238647461,0.342407227,,
0.23,9/14/2018,2:11:35 PM,0.238342285,0.335083008,,
0.24,9/14/2018,2:11:35 PM,0.237731934,0.328674316,,
0.25,9/14/2018,2:11:35 PM,0.237731934,0.325317383,,
0.26,9/14/2018,2:11:35 PM,0.237731934,0.323486328,,
0.27,9/14/2018,2:11:35 PM,0.238037109,0.323181152,,
0.28,9/14/2018,2:11:35 PM,0.237426758,0.323181152,,
0.29,9/14/2018,2:11:35 PM,0.233459473,0.323486328,,
0.3,9/14/2018,2:11:35 PM,0.221557617,0.323486328,,
0.31,9/14/2018,2:11:35 PM,0.196533203,0.323791504,,
0.32,9/14/2018,2:11:35 PM,0.153808594,0.32409668,,
0.33,9/14/2018,2:11:35 PM,0.102539063,0.324401855,,
0.34,9/14/2018,2:11:35 PM,0.063171387,0.323791504,,
0.35,9/14/2018,2:11:35 PM,0.050354004,0.321350098,,
0.36,9/14/2018,2:11:35 PM,0.062561035,0.320129395,,
0.37,9/14/2018,2:11:35 PM,0.092163086,0.326843262,,
0.38,9/14/2018,2:11:35 PM,0.13458252,0.352478027,,
0.39,9/14/2018,2:11:35 PM,0.189819336,0.407409668,,
0.4,9/14/2018,2:11:35 PM,0.255737305,0.495605469,,
0.41,9/14/2018,2:11:35 PM,0.325317383,0.606079102,,
0.42,9/14/2018,2:11:35 PM,0.391540527,0.722045898,,
