Sample Rate: 400,,,,,,
Relative Time,Date,Time Stamp UTC,Left MCA,Right MCA,Event Marker Comments,Chn 1 Events
0,9/13/2018,3:09:22 PM,0.443725586,0.675354004,,
0.01,9/13/2018,3:09:22 PM,0.44342041,0.67565918,,
0.02,9/13/2018,3:09:22 PM,0.440673828,0.675354004,,
0.03,9/13/2018,3:09:22 PM,0.433959961,0.67565918,,
0.04,9/13/2018,3:09:22 PM,0.42755127,0.679931641,,
0.05,9/13/2018,3:09:22 PM,0.430603027,0.694580078,,
0.06,9/13/2018,3:09:22 PM,0.450439453,0.726623535,,
0.07,9/13/2018,3:09:22 PM,0.492858887,0.780639648,,
0.08,9/13/2018,3:09:22 PM,0.559997559,0.857849121,,
0.09,9/13/2018,3:09:22 PM,0.645751953,0.952453613,,
0.1,9/13/2018,3:09:22 PM,0.737915039,1.053161621,,
0.11,9/13/2018,3:09:22 PM,0.823364258,1.149291992,,
0.12,9/13/2018,3:09:22 PM,0.890808105,1.23046875,,
0.13,9/13/2018,3:09:22 PM,0.934448242,1.288146973,,
0.14,9/13/2018,3:09:22 PM,0.957336426,1.319274902,,
0.15,9/13/2018,3:09:22 PM,0.963134766,1.324768066,,
0.16,9/13/2018,3:09:22 PM,0.956115723,1.309509277,,
0.17,9/13/2018,3:09:22 PM,0.936889648,1.281738281,,
0.18,9/13/2018,3:09:22 PM,0.907287598,1.25,,
0.19,9/13/2018,3:09:22 PM,0.870666504,1.221008301,,
0.2,9/13/2018,3:09:22 PM,0.831604004,1.196594238,,
0.21,9/13/2018,3:09:22 PM,0.79284668,1.176147461,,
0.22,9/13/2018,3:09:22 PM,0.756835938,1.156921387,,
0.23,9/13/2018,3:09:22 PM,0.726928711,1.136779785,,
0.24,9/13/2018,3:09:22 PM,0.707092285,1.116027832,,
0.25,9/13/2018,3:09:22 PM,0.698852539,1.095275879,,
0.26,9/13/2018,3:09:22 PM,0.69732666,1.074829102,,
0.27,9/13/2018,3:09:22 PM,0.697631836,1.055297852,,
0.28,9/13/2018,3:09:22 PM,0.694580078,1.035461426,,
0.29,9/13/2018,3:09:22 PM,0.684509277,1.015014648,,
0.3,9/13/2018,3:09:22 PM,0.667724609,0.994873047,,
0.31,9/13/2018,3:09:22 PM,0.647888184,0.975036621,,
0.32,9/13/2018,3:09:22 PM,0.627441406,0.955200195,,
0.33,9/13/2018,3:09:22 PM,0.608215332,0.938415527,,
0.34,9/13/2018,3:09:22 PM,0.59173584,0.92590332,,
0.35,9/13/2018,3:09:22 PM,0.58013916,0.918579102,,
0.36,9/13/2018,3:09:22 PM,0.576782227,0.91583252,,
0.37,9/13/2018,3:09:22 PM,0.581970215,0.915222168,,
0.38,9/13/2018,3:09:22 PM,0.594177246,0.914916992,,
0.39,9/13/2018,3:09:22 PM,0.610351563,0.914306641,,
0.4,9/13/2018,3:09:22 PM,0.62713623,0.912780762,,
0.41,9/13/2018,3:09:22 PM,0.639648438,0.908813477,,
0.42,9/13/2018,3:09:22 PM,0.64666748,0.901794434,,
0.43,9/13/2018,3:09:22 PM,0.650024414,0.891723633,,
0.44,9/13/2018,3:09:22 PM,0.648498535,0.88104248,,
0.45,9/13/2018,3:09:22 PM,0.641784668,0.872497559,,
0.46,9/13/2018,3:09:22 PM,0.628051758,0.867919922,,
0.47,9/13/2018,3:09:22 PM,0.610046387,0.863647461,,
0.48,9/13/2018,3:09:22 PM,0.592956543,0.856323242,,
0.49,9/13/2018,3:09:22 PM,0.58013916,0.843811035,,
0.5,9/13/2018,3:09:22 PM,0.572814941,0.827331543,,
0.51,9/13/2018,3:09:22 PM,0.570373535,0.809020996,,
0.52,9/13/2018,3:09:22 PM,0.568847656,0.792541504,,
0.53,9/13/2018,3:09:22 PM,0.564880371,0.780944824,,
0.54,9/13/2018,3:09:22 PM,0.556030273,0.774841309,,
0.55,9/13/2018,3:09:22 PM,0.542297363,0.772094727,,
0.56,9/13/2018,3:09:22 PM,0.525817871,0.771484375,,
0.57,9/13/2018,3:09:22 PM,0.510253906,0.771179199,,
0.58,9/13/2018,3:09:22 PM,0.499572754,0.771179199,,
0.59,9/13/2018,3:09:22 PM,0.494384766,0.771484375,,
0.6,9/13/2018,3:09:22 PM,0.492858887,0.771179199,,
0.61,9/13/2018,3:09:22 PM,0.491943359,0.769348145,,
0.62,9/13/2018,3:09:22 PM,0.488891602,0.762939453,,
0.63,9/13/2018,3:09:22 PM,0.481567383,0.751342773,,
0.64,9/13/2018,3:09:22 PM,0.469665527,0.734863281,,
0.65,9/13/2018,3:09:22 PM,0.453796387,0.717163086,,
0.66,9/13/2018,3:09:22 PM,0.439453125,0.702209473,,
0.67,9/13/2018,3:09:22 PM,0.431213379,0.693664551,,
0.68,9/13/2018,3:09:22 PM,0.431518555,0.691223145,,
0.69,9/13/2018,3:09:22 PM,0.440368652,0.690612793,,
0.7,9/13/2018,3:09:22 PM,0.455322266,0.690002441,,
0.71,9/13/2018,3:09:22 PM,0.469970703,0.686950684,,
0.72,9/13/2018,3:09:22 PM,0.477294922,0.679016113,,
0.73,9/13/2018,3:09:22 PM,0.473632813,0.667419434,,
